Datum;Geschoss;Gewicht;Durchmesser;Laenge
2018-10-30;LOS 145gr HP;145,32;9,05;15,87
2018-10-30;LOS 145gr HP;145,38;9,06;15,92
2018-10-30;LOS 145gr HP;145,26;9,06;15,82
2018-10-30;LOS 145gr HP;145,4;9,055;15,87
2018-10-30;LOS 145gr HP;145,64;9,06;15,84
2018-10-30;LOS 145gr HP;145,44;9,06;15,89
2018-10-30;LOS 145gr HP;145,54;9,06;15,83
2018-10-30;LOS 145gr HP;145,94;9,06;15,8
2018-10-30;LOS 145gr HP;145,82;9,06;15,89
2018-10-30;LOS 145gr HP;145,82;9,065;15,78
2018-10-30;LOS 145gr HP;145,26;9,055;15,87
2018-10-30;LOS 145gr HP;145,36;9,06;15,85
2018-10-30;LOS 145gr HP;145,60;9,07;15,89
2018-10-30;LOS 145gr HP;145,20;9,05;15,84
2018-10-30;LOS 145gr HP;145,70;9,06;15,83
2018-10-30;LOS 145gr HP;145,82;9,06;15,89
2018-10-30;LOS 145gr HP;145,8;9,05;15,79
2018-10-30;LOS 145gr HP;145,74;9,065;15,85
2018-10-30;LOS 145gr HP;145,20;9,05;15,82
2018-10-30;LOS 145gr HP;145,68;9,065;15,81
2018-10-30;LOS 145gr HP;145,4;9,06;15,8
2018-10-30;LOS 145gr HP;145,80;9,06;15,87
2018-10-30;LOS 145gr HP;144,48;9,045;15,79
2018-10-30;LOS 145gr HP;145,36;9,06;15,88
2018-10-30;LOS 145gr HP;145,16;9,055;15,83
2018-10-30;LOS 145gr HP;144,92;9,05;15,83
2018-10-30;LOS 145gr HP;144,90;9,06;15,86
2018-10-30;LOS 145gr HP;145,66;9,06;15,82
2018-10-30;LOS 145gr HP;145,26;9,05;15,86
2018-10-30;LOS 145gr HP;146,08;9,05;15,87
2018-10-30;LOS 145gr HP;144,76;9,06;15,81
2018-10-30;LOS 145gr HP;145,40;9,05;15,79
2018-10-30;LOS 145gr HP;145,20;9,05;15,9
2018-10-30;LOS 145gr HP;145,26;9,06;15,85
2018-10-30;LOS 145gr HP;145,6;9,07;15,78
2018-10-30;LOS 145gr HP;145,28;9,06;15,79
2018-10-30;LOS 145gr HP;145,94;9,06;15,88
2018-10-30;LOS 145gr HP;145,06;9,06;15,78
2018-10-30;LOS 145gr HP;144,84;9,055;15,84
2018-10-30;LOS 145gr HP;144,72;9,05;15,82
2018-10-30;LOS 145gr HP;144,88;9,055;15,8
2018-10-30;LOS 145gr HP;144,88;9,05;15,82
2018-10-30;LOS 145gr HP;144,74;9,05;15,81
2018-10-30;LOS 145gr HP;145,26;9,05;15,84
2018-10-30;LOS 145gr HP;145,20;9,05;15,78
