Von;Bis;Hauptfokus;Nebenfokus;Kommentar
12.11.2017;31.01.2018;Resultat;L;Kennenlernen Scatt
01.02.2018;28.02.2018;10a0;L;
01.03.2018;31.03.2018;L;10a0;
01.04.2018;25.04.2018;Abstand;L/250;
26.04.2018;27.05.2018;Resultat;Abstand;Arbeit für LM. Präzision ist jetzt am wichtigsten.
28.05.2018;05.07.2018;10.0;Resultat;Präzision ist jetzt wichtig. --> nicht erfolgreich --> nächstes mal über Nullpunkt gehen???
06.07.2018;31.07.2018;Abstand;L/250;Beide Werte wieder auf Trab bringen.
01.08.2018;28.08.2018;10.0;Abstand; Training DM 2018
29.08.2018;15.10.2018;Abstand;L/250; Grundlagentraining
16.10.2018;19.01.2019;10.0;Abstand; 
20.01.2019;27.01.2019;Abstand;Resultat;
28.01.2019;29.04.2019;L/250;Abstand;
30.04.2019;15.05.2019;10.0;Abstand; Halteruhe wird ab sofort über Laser trainiert.
16.05.2019;15.07.2019;Abstand;10.0; Mal testweise wieder Fokus auf Abzug
16.07.2019;15.05.2020;L/250;Abstand;



